Disease,Diet
Diabetes,"['Diabetes Diet', 'High-fiber foods', 'Low-glycemic index foods', 'Lean proteins', 'Healthy fats']"
Glaucoma,"['Glaucoma Diet', 'Leafy greens', 'Fruits rich in vitamins A and C', 'Omega-3 fatty acids', 'Hydration']"
Gout,"['Gout Diet', 'Low-purine foods', 'Cherries and berries', 'Whole grains', 'Plenty of water']"
Haematopoiesis,"['Haematopoiesis Diet', 'Iron-rich foods', 'Vitamin B12 sources', 'Folate-rich foods', 'Protein-rich foods']"
Haemorrhoid,"['Haemorrhoid Diet', 'High-fiber foods', 'Fruits and vegetables', 'Hydration', 'Whole grains']"
Hyperpigmentation,"['Hyperpigmentation Diet', 'Antioxidant-rich foods', 'Vitamin C-rich foods', 'Omega-3 fatty acids', 'Hydration']"
Osteoporosis,"['Osteoporosis Diet', 'Calcium-rich foods', 'Vitamin D sources', 'Protein-rich foods', 'Leafy greens']"
Psychosis,"['Psychosis Diet', 'Balanced nutrition', 'Omega-3 fatty acids', 'Fruits and vegetables', 'Lean proteins']"
Parkinson,"['Parkinson\'s Diet', 'Antioxidant-rich foods', 'Omega-3 fatty acids', 'High-fiber foods', 'Hydration']"
Scabies,"['Scabies Diet', 'Healthy immune-boosting foods', 'Fruits and vegetables', 'Protein-rich foods', 'Hydration']"
Pyrexia,"['Pyrexia Diet', 'Hydrating foods', 'Fruits and vegetables', 'Light proteins', 'Spices like ginger and turmeric']"
Schizophrenia,"['Schizophrenia Diet', 'Omega-3 fatty acids', 'Whole grains', 'Fruits and vegetables', 'Balanced protein sources']"
Thrombolysis,"['Thrombolysis Diet', 'Hydration', 'Omega-3 fatty acids', 'Fruits and vegetables', 'Low-sodium foods']"
Constipation,"['Constipation Diet', 'High-fiber foods', 'Fruits and vegetables', 'Whole grains', 'Adequate hydration']"
,
