Disease, medicine_1, medicine_2, medicine_3, medicine_4, medicine_5, medicine_6
Fungal infection, Itraconazole, Terbinafine, Nystatin, Clotrimazole, Ketoconazole, Fluconazole
Allergy, antihistamine, decongestant, corticosteroid, leukotriene_receptor_antagonist, nasal_spray, eye_drop
Allergy, decongestant, nasal_spray, antihistamine, eye_drop, leukotriene_receptor_antagonist, corticosteroid
Allergy, leukotriene_receptor_antagonist, eye_drop, decongestant, antihistamine, corticosteroid, nasal_spray
Allergy, cetirizine, loratadine, fexofenadine, desloratadine, prednisone, montelukast
Allergy, fexofenadine, cetirizine, montelukast, desloratadine, loratadine, prednisone
Allergy, montelukast, desloratadine, loratadine, fexofenadine, cetirizine, prednisone
Allergy, diphenhydramine, azelastine, fluticasone, levocetirizine, albuterol, epinephrine
Allergy, azelastine, levocetirizine, albuterol, diphenhydramine, fluticasone, epinephrine
Allergy, albuterol, epinephrine, azelastine, diphenhydramine, levocetirizine, fluticasone
Allergy, claritin, benadryl, zyrtec, flonase, singulair, astelin
Allergy, flonase, zyrtec, benadryl, singulair, claritin, astelin
Allergy, astelin, claritin, zyrtec, flonase, benadryl, singulair
Allergy, corticosteroid, montelukast, fexofenadine, nasal_spray, cetirizine, loratadine
Allergy, loratadine, nasal_spray, fexofenadine, montelukast, cetirizine, corticosteroid
Allergy, cetirizine, corticosteroid, loratadine, nasal_spray, fexofenadine, montelukast
Allergy, diphenhydramine, loratadine, azelastine, epinephrine, cetirizine, prednisone
Allergy, loratadine, diphenhydramine, azelastine, prednisone, cetirizine, epinephrine
Allergy, azelastine, diphenhydramine, loratadine, prednisone, epinephrine, cetirizine
Allergy, montelukast, levofloxacin, clindamycin, albuterol, azelastine, diphenhydramine
Allergy, clindamycin, montelukast, levofloxacin, diphenhydramine, albuterol, azelastine
Allergy, albuterol, diphenhydramine, levofloxacin, azelastine, clindamycin, montelukast
Allergy, loratadine, cetirizine, levofloxacin, albuterol, diphenhydramine, azelastine
Allergy, azelastine, cetirizine, albuterol, levofloxacin, diphenhydramine, loratadine
Allergy, levofloxacin, azelastine, cetirizine, albuterol, diphenhydramine, loratadine
Allergy, fluticasone, azelastine, montelukast, desloratadine, epinephrine, loratadine
Allergy, epinephrine, azelastine, montelukast, fluticasone, desloratadine, loratadine
Allergy, desloratadine, fluticasone, montelukast, epinephrine, azelastine, loratadine
Allergy, prednisone, singulair, cetirizine, flonase, albuterol, diphenhydramine
Allergy, diphenhydramine, flonase, cetirizine, singulair, albuterol, prednisone
Allergy, singulair, diphenhydramine, cetirizine, albuterol, flonase, prednisone
Allergy, epinephrine, levocetirizine, fluticasone, montelukast, azelastine, loratadine
Allergy, montelukast, levocetirizine, fluticasone, azelastine, loratadine, epinephrine
Allergy, loratadine, azelastine, fluticasone, montelukast, epinephrine, levocetirizine
GERD, Omeprazole, Ranitidine, Pantoprazole, Lansoprazole, Esomeprazole, Famotidine
GERD, Esomeprazole, Lansoprazole, Omeprazole, Ranitidine, Pantoprazole, Famotidine
GERD, Famotidine, Ranitidine, Esomeprazole, Omeprazole, Lansoprazole, Pantoprazole
GERD, Pantoprazole, Omeprazole, Famotidine, Ranitidine, Lansoprazole, Esomeprazole
GERD, Lansoprazole, Famotidine, Ranitidine, Pantoprazole, Esomeprazole, Omeprazole
GERD, Omeprazole, Pantoprazole, Lansoprazole, Famotidine, Esomeprazole, Ranitidine
GERD, Ranitidine, Omeprazole, Famotidine, Pantoprazole, Lansoprazole, Esomeprazole
GERD, Esomeprazole, Famotidine, Lansoprazole, Omeprazole, Ranitidine, Pantoprazole
GERD, Pantoprazole, Lansoprazole, Ranitidine, Esomeprazole, Famotidine, Omeprazole
GERD, Lansoprazole, Pantoprazole, Esomeprazole, Famotidine, Ranitidine, Omeprazole
GERD, Famotidine, Esomeprazole, Lansoprazole, Pantoprazole, Ranitidine, Omeprazole
GERD, Ranitidine, Pantoprazole, Famotidine, Esomeprazole, Omeprazole, Lansoprazole
Chronic cholestasis, ursodeoxycholic acid, cholestyramine, rifampicin, fenofibrate, vitamin_k, corticosteroids
Chronic cholestasis, cholestyramine, ursodeoxycholic acid, vitamin_k, rifampicin, fenofibrate, corticosteroids
Chronic cholestasis, rifampicin, cholestyramine, ursodeoxycholic acid, vitamin_k, fenofibrate, corticosteroids
Chronic cholestasis, ursodiol, cholestyramine, rifampicin, vitamin_k, fenofibrate, corticosteroids
Chronic cholestasis, vitamin_k, ursodiol, rifampicin, fenofibrate, cholestyramine, corticosteroids
Chronic cholestasis, fenofibrate, vitamin_k, rifampicin, cholestyramine, ursodeoxycholic acid, corticosteroids
Chronic cholestasis, corticosteroids, ursodeoxycholic acid, rifampicin, cholestyramine, vitamin_k, fenofibrate
Chronic cholestasis, rifampicin, fenofibrate, vitamin_k, ursodeoxycholic acid, cholestyramine, corticosteroids
Chronic cholestasis, cholestyramine, vitamin_k, ursodeoxycholic acid, rifampicin, corticosteroids, fenofibrate
Chronic cholestasis, vitamin_k, fenofibrate, cholestyramine, rifampicin, corticosteroids, ursodeoxycholic acid
Chronic cholestasis, ursodeoxycholic acid, rifampicin, cholestyramine, vitamin_k, fenofibrate, corticosteroids
Chronic cholestasis, cholestyramine, fenofibrate, ursodeoxycholic acid, vitamin_k, rifampicin, corticosteroids
Chronic cholestasis, rifampicin, corticosteroids, vitamin_k, ursodeoxycholic acid, fenofibrate, cholestyramine
Chronic cholestasis, fenofibrate, rifampicin, cholestyramine, vitamin_k, ursodeoxycholic acid, corticosteroids
Chronic cholestasis, ursodeoxycholic acid, vitamin_k, cholestyramine, rifampicin, corticosteroids, fenofibrate
Chronic cholestasis, cholestyramine, corticosteroids, ursodeoxycholic acid, rifampicin, vitamin_k, fenofibrate
Chronic cholestasis, rifampicin, cholestyramine, vitamin_k, ursodeoxycholic acid, fenofibrate, corticosteroids
Chronic cholestasis, vitamin_k, rifampicin, cholestyramine, corticosteroids, ursodeoxycholic acid, fenofibrate
Chronic cholestasis, corticosteroids, cholestyramine, fenofibrate, vitamin_k, rifampicin, ursodeoxycholic acid
Chronic cholestasis, fenofibrate, vitamin_k, corticosteroids, cholestyramine, rifampicin, ursodeoxycholic acid
Chronic cholestasis, rifampicin, ursodeoxycholic acid, vitamin_k, corticosteroids, fenofibrate, cholestyramine
Drug Reaction, antihistamines, corticosteroids, epinephrine, immunosuppressants, topical corticosteroids, leukotriene modifiers
Drug Reaction, corticosteroids, antihistamines, immunosuppressants, epinephrine, leukotriene modifiers, topical corticosteroids
Drug Reaction, epinephrine, corticosteroids, antihistamines, immunosuppressants, leukotriene modifiers, topical corticosteroids
Drug Reaction, diphenhydramine, prednisone, epinephrine, montelukast, hydrocortisone, cetirizine
Drug Reaction, montelukast, diphenhydramine, prednisone, hydrocortisone, epinephrine, cetirizine
Drug Reaction, hydrocortisone, epinephrine, diphenhydramine, montelukast, cetirizine, prednisone
Drug Reaction, prednisone, antihistamines, epinephrine, topical corticosteroids, immunosuppressants, leukotriene modifiers
Drug Reaction, immunosuppressants, montelukast, diphenhydramine, hydrocortisone, corticosteroids, epinephrine
Drug Reaction, leukotriene modifiers, immunosuppressants, diphenhydramine, hydrocortisone, corticosteroids, epinephrine
Drug Reaction, cetirizine, hydrocortisone, diphenhydramine, montelukast, epinephrine, prednisone
Drug Reaction, montelukast, cetirizine, hydrocortisone, prednisone, diphenhydramine, epinephrine
Drug Reaction, hydrocortisone, cetirizine, epinephrine, montelukast, diphenhydramine, prednisone
Drug Reaction, corticosteroids, epinephrine, montelukast, immunosuppressants, diphenhydramine, leukotriene modifiers
Drug Reaction, leukotriene modifiers, montelukast, diphenhydramine, hydrocortisone, epinephrine, corticosteroids
Drug Reaction, immunosuppressants, hydrocortisone, diphenhydramine, epinephrine, corticosteroids, montelukast
Drug Reaction, hydrocortisone, epinephrine, corticosteroids, montelukast, immunosuppressants, diphenhydramine
Drug Reaction, cetirizine, epinephrine, corticosteroids, montelukast, diphenhydramine, immunosuppressants
Drug Reaction, montelukast, corticosteroids, immunosuppressants, diphenhydramine, cetirizine, hydrocortisone
Drug Reaction, diphenhydramine, immunosuppressants, hydrocortisone, montelukast, epinephrine, corticosteroids
Drug Reaction, epinephrine, diphenhydramine, corticosteroids, leukotriene modifiers, montelukast, hydrocortisone
Peptic ulcer disease, proton_pump_inhibitors, H2_receptor_antagonists, antacids, antibiotics, mucosal_protectants, bismuth_compounds
Peptic ulcer disease, H2_receptor_antagonists, proton_pump_inhibitors, bismuth_compounds, antibiotics, antacids, mucosal_protectants
Peptic ulcer disease, antacids, mucosal_protectants, proton_pump_inhibitors, H2_receptor_antagonists, bismuth_compounds, antibiotics
Peptic ulcer disease, omeprazole, ranitidine, aluminum_hydroxide, amoxicillin, sucralfate, bismuth_subsalicylate
Peptic ulcer disease, amoxicillin, omeprazole, ranitidine, bismuth_subsalicylate, sucralfate, aluminum_hydroxide
Peptic ulcer disease, sucralfate, aluminum_hydroxide, omeprazole, amoxicillin, ranitidine, bismuth_subsalicylate
Peptic ulcer disease, bismuth_subsalicylate, omeprazole, antibiotics, H2_receptor_antagonists, antacids, mucosal_protectants
Peptic ulcer disease, ranitidine, sucralfate, omeprazole, bismuth_compounds, antacids, antibiotics
Peptic ulcer disease, mucosal_protectants, bismuth_compounds, ranitidine, omeprazole, antibiotics, antacids
Peptic ulcer disease, aluminum_hydroxide, sucralfate, ranitidine, amoxicillin, omeprazole, bismuth_subsalicylate
Peptic ulcer disease, amoxicillin, aluminum_hydroxide, sucralfate, ranitidine, omeprazole, bismuth_compounds
Peptic ulcer disease, sucralfate, bismuth_subsalicylate, omeprazole, antibiotics, ranitidine, antacids
Peptic ulcer disease, proton_pump_inhibitors, bismuth_compounds, ranitidine, mucosal_protectants, aluminum_hydroxide, antibiotics
Peptic ulcer disease, H2_receptor_antagonists, omeprazole, mucosal_protectants, bismuth_subsalicylate, antacids, sucralfate
Peptic ulcer disease, bismuth_compounds, omeprazole, sucralfate, antacids, ranitidine, antibiotics
Peptic ulcer disease, ranitidine, bismuth_subsalicylate, aluminum_hydroxide, omeprazole, antibiotics, sucralfate
Peptic ulcer disease, sucralfate, ranitidine, aluminum_hydroxide, proton_pump_inhibitors, antacids, bismuth_compounds
Peptic ulcer disease, antibiotics, omeprazole, aluminum_hydroxide, bismuth_subsalicylate, H2_receptor_antagonists, sucralfate
Peptic ulcer disease, bismuth_subsalicylate, sucralfate, proton_pump_inhibitors, ranitidine, antacids, antibiotics
Peptic ulcer disease, omeprazole, bismuth_compounds, ranitidine, aluminum_hydroxide, mucosal_protectants, antacids
Peptic ulcer disease, antacids, ranitidine, bismuth_subsalicylate, omeprazole, mucosal_protectants, antibiotics
AIDS, Zidovudine, Lamivudine, Efavirenz, Tenofovir, Emtricitabine, Atazanavir
AIDS, Lamivudine, Zidovudine, Atazanavir, Efavirenz, Tenofovir, Emtricitabine
AIDS, Efavirenz, Tenofovir, Zidovudine, Emtricitabine, Atazanavir, Lamivudine
AIDS, Tenofovir, Lamivudine, Efavirenz, Atazanavir, Emtricitabine, Zidovudine
AIDS, Emtricitabine, Zidovudine, Atazanavir, Lamivudine, Efavirenz, Tenofovir
AIDS, Atazanavir, Tenofovir, Lamivudine, Emtricitabine, Zidovudine, Efavirenz
AIDS, Zidovudine, Emtricitabine, Atazanavir, Tenofovir, Efavirenz, Lamivudine
AIDS, Lamivudine, Efavirenz, Tenofovir, Zidovudine, Emtricitabine, Atazanavir
AIDS, Efavirenz, Zidovudine, Lamivudine, Emtricitabine, Atazanavir, Tenofovir
AIDS, Tenofovir, Zidovudine, Emtricitabine, Atazanavir, Lamivudine, Efavirenz
AIDS, Emtricitabine, Atazanavir, Lamivudine, Efavirenz, Tenofovir, Zidovudine
AIDS, Atazanavir, Zidovudine, Efavirenz, Tenofovir, Emtricitabine, Lamivudine
AIDS, Zidovudine, Tenofovir, Lamivudine, Efavirenz, Atazanavir, Emtricitabine
AIDS, Efavirenz, Atazanavir, Zidovudine, Emtricitabine, Lamivudine, Tenofovir
AIDS, Tenofovir, Emtricitabine, Lamivudine, Efavirenz, Zidovudine, Atazanavir
AIDS, Lamivudine, Zidovudine, Efavirenz, Emtricitabine, Tenofovir, Atazanavir
AIDS, Efavirenz, Tenofovir, Atazanavir, Lamivudine, Zidovudine, Emtricitabine
AIDS, Emtricitabine, Efavirenz, Zidovudine, Tenofovir, Atazanavir, Lamivudine
AIDS, Tenofovir, Lamivudine, Efavirenz, Emtricitabine, Zidovudine, Atazanavir
AIDS, Lamivudine, Emtricitabine, Atazanavir, Efavirenz, Zidovudine, Tenofovir
AIDS, Zidovudine, Efavirenz, Tenofovir, Atazanavir, Lamivudine, Emtricitabine
AIDS, Atazanavir, Emtricitabine, Zidovudine, Lamivudine, Efavirenz, Tenofovir
AIDS, Tenofovir, Lamivudine, Zidovudine, Emtricitabine, Efavirenz, Atazanavir
AIDS, Emtricitabine, Atazanavir, Tenofovir, Lamivudine, Zidovudine, Efavirenz
Diabetes, metformin, sulfonylureas, DPP-4_inhibitors, GLP-1_receptor_agonists, SGLT2_inhibitors, insulin
Diabetes, sulfonylureas, metformin, insulin, DPP-4_inhibitors, SGLT2_inhibitors, GLP-1_receptor_agonists
Diabetes, DPP-4_inhibitors, GLP-1_receptor_agonists, insulin, metformin, sulfonylureas, SGLT2_inhibitors
Diabetes, glipizide, metformin, sitagliptin, liraglutide, canagliflozin, insulin
Diabetes, sitagliptin, liraglutide, glipizide, canagliflozin, metformin, insulin
Diabetes, liraglutide, canagliflozin, sitagliptin, insulin, metformin, glipizide
Diabetes, insulin, metformin, DPP-4_inhibitors, SGLT2_inhibitors, GLP-1_receptor_agonists, pioglitazone
Diabetes, pioglitazone, GLP-1_receptor_agonists, metformin, insulin, DPP-4_inhibitors, SGLT2_inhibitors
Diabetes, SGLT2_inhibitors, pioglitazone, DPP-4_inhibitors, metformin, insulin, GLP-1_receptor_agonists
Diabetes, glimepiride, metformin, sitagliptin, empagliflozin, liraglutide, insulin
Diabetes, empagliflozin, glimepiride, sitagliptin, liraglutide, metformin, insulin
Diabetes, liraglutide, empagliflozin, metformin, glimepiride, sitagliptin, insulin
Diabetes, metformin, canagliflozin, insulin, glipizide, DPP-4_inhibitors, GLP-1_receptor_agonists
Diabetes, DPP-4_inhibitors, metformin, canagliflozin, insulin, glipizide, GLP-1_receptor_agonists
Diabetes, GLP-1_receptor_agonists, glipizide, canagliflozin, metformin, DPP-4_inhibitors, insulin
Diabetes, sitagliptin, glimepiride, metformin, empagliflozin, pioglitazone, insulin
Diabetes, empagliflozin, pioglitazone, metformin, sitagliptin, glimepiride, insulin
Diabetes, pioglitazone, sitagliptin, glimepiride, metformin, empagliflozin, insulin
Diabetes, insulin, glimepiride, liraglutide, metformin, SGLT2_inhibitors, DPP-4_inhibitors
Diabetes, liraglutide, SGLT2_inhibitors, insulin, metformin, DPP-4_inhibitors, glimepiride
Diabetes, DPP-4_inhibitors, insulin, SGLT2_inhibitors, glimepiride, metformin, liraglutide
Diabetes, metformin, DPP-4_inhibitors, empagliflozin, liraglutide, glipizide, insulin
Diabetes, glipizide, empagliflozin, DPP-4_inhibitors, metformin, insulin, liraglutide
Diabetes, liraglutide, metformin, glipizide, empagliflozin, insulin, DPP-4_inhibitors
Gastroenteritis, Loperamide, Ondansetron, Metoclopramide, Diphenoxylate, Prochlorperazine, Bismuth_Subsalicylate
Gastroenteritis, Ondansetron, Loperamide, Bismuth_Subsalicylate, Metoclopramide, Diphenoxylate, Prochlorperazine
Gastroenteritis, Metoclopramide, Bismuth_Subsalicylate, Loperamide, Diphenoxylate, Ondansetron, Prochlorperazine
Gastroenteritis, Diphenoxylate, Ondansetron, Metoclopramide, Prochlorperazine, Loperamide, Bismuth_Subsalicylate
Gastroenteritis, Prochlorperazine, Loperamide, Ondansetron, Bismuth_Subsalicylate, Diphenoxylate, Metoclopramide
Gastroenteritis, Bismuth_Subsalicylate, Metoclopramide, Loperamide, Prochlorperazine, Ondansetron, Diphenoxylate
Gastroenteritis, Loperamide, Diphenoxylate, Prochlorperazine, Bismuth_Subsalicylate, Metoclopramide, Ondansetron
Gastroenteritis, Ondansetron, Diphenoxylate, Bismuth_Subsalicylate, Prochlorperazine, Loperamide, Metoclopramide
Gastroenteritis, Metoclopramide, Ondansetron, Diphenoxylate, Loperamide, Prochlorperazine, Bismuth_Subsalicylate
Gastroenteritis, Diphenoxylate, Bismuth_Subsalicylate, Loperamide, Ondansetron, Metoclopramide, Prochlorperazine
Gastroenteritis, Prochlorperazine, Ondansetron, Bismuth_Subsalicylate, Diphenoxylate, Loperamide, Metoclopramide
Gastroenteritis, Bismuth_Subsalicylate, Loperamide, Ondansetron, Metoclopramide, Diphenoxylate, Prochlorperazine
Gastroenteritis, Loperamide, Prochlorperazine, Bismuth_Subsalicylate, Ondansetron, Metoclopramide, Diphenoxylate
Gastroenteritis, Ondansetron, Metoclopramide, Loperamide, Diphenoxylate, Prochlorperazine, Bismuth_Subsalicylate
Gastroenteritis, Metoclopramide, Prochlorperazine, Bismuth_Subsalicylate, Loperamide, Diphenoxylate, Ondansetron
Gastroenteritis, Diphenoxylate, Loperamide, Prochlorperazine, Metoclopramide, Ondansetron, Bismuth_Subsalicylate
Gastroenteritis, Ondansetron, Loperamide, Bismuth_Subsalicylate, Metoclopramide, Diphenoxylate, Prochlorperazine
Gastroenteritis, Metoclopramide, Diphenoxylate, Prochlorperazine, Ondansetron, Bismuth_Subsalicylate, Loperamide
Gastroenteritis, Loperamide, Bismuth_Subsalicylate, Ondansetron, Metoclopramide, Diphenoxylate, Prochlorperazine
Gastroenteritis, Bismuth_Subsalicylate, Ondansetron, Loperamide, Diphenoxylate, Prochlorperazine, Metoclopramide
Gastroenteritis, Diphenoxylate, Metoclopramide, Ondansetron, Loperamide, Bismuth_Subsalicylate, Prochlorperazine
Gastroenteritis, Prochlorperazine, Metoclopramide, Loperamide, Bismuth_Subsalicylate, Ondansetron, Diphenoxylate
Bronchial Asthma, bronchodilators, corticosteroids, leukotriene modifiers, inhaled corticosteroids, long-acting beta agonists, anticholinergics
Bronchial Asthma, corticosteroids, leukotriene modifiers, anticholinergics, bronchodilators, long-acting beta agonists, inhaled corticosteroids
Bronchial Asthma, inhaled corticosteroids, bronchodilators, long-acting beta agonists, leukotriene modifiers, corticosteroids, anticholinergics
Bronchial Asthma, albuterol, fluticasone, salmeterol, montelukast, budesonide, ipratropium
Bronchial Asthma, montelukast, albuterol, fluticasone, ipratropium, salmeterol, budesonide
Bronchial Asthma, salmeterol, ipratropium, albuterol, budesonide, montelukast, fluticasone
Bronchial Asthma, budesonide, albuterol, long-acting beta agonists, inhaled corticosteroids, leukotriene modifiers, corticosteroids
Bronchial Asthma, ipratropium, leukotriene modifiers, budesonide, albuterol, long-acting beta agonists, corticosteroids
Bronchial Asthma, leukotriene modifiers, budesonide, albuterol, corticosteroids, ipratropium, long-acting beta agonists
Bronchial Asthma, salbutamol, budesonide, fluticasone, montelukast, ipratropium, salmeterol
Bronchial Asthma, montelukast, salbutamol, fluticasone, salmeterol, budesonide, ipratropium
Bronchial Asthma, fluticasone, salmeterol, salbutamol, montelukast, ipratropium, budesonide
Bronchial Asthma, corticosteroids, albuterol, montelukast, long-acting beta agonists, ipratropium, inhaled corticosteroids
Bronchial Asthma, inhaled corticosteroids, montelukast, albuterol, corticosteroids, long-acting beta agonists, ipratropium
Bronchial Asthma, long-acting beta agonists, ipratropium, inhaled corticosteroids, montelukast, albuterol, corticosteroids
Bronchial Asthma, budesonide, salmeterol, albuterol, ipratropium, leukotriene modifiers, corticosteroids
Bronchial Asthma, salmeterol, ipratropium, budesonide, leukotriene modifiers, albuterol, corticosteroids
Bronchial Asthma, leukotriene modifiers, budesonide, salmeterol, albuterol, corticosteroids, ipratropium
Bronchial Asthma, ipratropium, fluticasone, montelukast, albuterol, corticosteroids, long-acting beta agonists
Bronchial Asthma, montelukast, fluticasone, albuterol, long-acting beta agonists, ipratropium, corticosteroids
Bronchial Asthma, albuterol, long-acting beta agonists, fluticasone, montelukast, ipratropium, corticosteroids
Hypertension, Lisinopril, Amlodipine, Losartan, Hydrochlorothiazide, Metoprolol, Atenolol
Hypertension, Amlodipine, Lisinopril, Hydrochlorothiazide, Losartan, Metoprolol, Atenolol
Hypertension, Losartan, Hydrochlorothiazide, Amlodipine, Atenolol, Lisinopril, Metoprolol
Hypertension, Hydrochlorothiazide, Metoprolol, Losartan, Amlodipine, Atenolol, Lisinopril
Hypertension, Metoprolol, Lisinopril, Amlodipine, Hydrochlorothiazide, Atenolol, Losartan
Hypertension, Atenolol, Losartan, Lisinopril, Hydrochlorothiazide, Amlodipine, Metoprolol
Hypertension, Lisinopril, Hydrochlorothiazide, Atenolol, Metoprolol, Amlodipine, Losartan
Hypertension, Amlodipine, Losartan, Metoprolol, Hydrochlorothiazide, Atenolol, Lisinopril
Hypertension, Hydrochlorothiazide, Lisinopril, Atenolol, Losartan, Amlodipine, Metoprolol
Hypertension, Losartan, Metoprolol, Amlodipine, Lisinopril, Hydrochlorothiazide, Atenolol
Hypertension, Metoprolol, Atenolol, Hydrochlorothiazide, Lisinopril, Losartan, Amlodipine
Hypertension, Hydrochlorothiazide, Amlodipine, Atenolol, Metoprolol, Lisinopril, Losartan
Hypertension, Lisinopril, Amlodipine, Atenolol, Hydrochlorothiazide, Metoprolol, Losartan
Hypertension, Atenolol, Losartan, Hydrochlorothiazide, Metoprolol, Amlodipine, Lisinopril
Hypertension, Metoprolol, Hydrochlorothiazide, Losartan, Atenolol, Lisinopril, Amlodipine
Hypertension, Hydrochlorothiazide, Lisinopril, Amlodipine, Atenolol, Losartan, Metoprolol
Hypertension, Lisinopril, Losartan, Metoprolol, Hydrochlorothiazide, Atenolol, Amlodipine
Hypertension, Amlodipine, Hydrochlorothiazide, Atenolol, Losartan, Lisinopril, Metoprolol
Hypertension, Atenolol, Lisinopril, Hydrochlorothiazide, Amlodipine, Metoprolol, Losartan
Hypertension, Losartan, Hydrochlorothiazide, Metoprolol, Amlodipine, Lisinopril, Atenolol
Hypertension, Metoprolol, Amlodipine, Losartan, Lisinopril, Hydrochlorothiazide, Atenolol
Hypertension, Hydrochlorothiazide, Amlodipine, Losartan, Atenolol, Metoprolol, Lisinopril
Migraine, triptans, NSAIDs, ergotamine, antiemetics, beta-blockers, antidepressants
Migraine, NSAIDs, triptans, beta-blockers, ergotamine, antiemetics, antidepressants
Migraine, antiemetics, beta-blockers, triptans, NSAIDs, ergotamine, antidepressants
Migraine, sumatriptan, ibuprofen, naproxen, metoclopramide, propranolol, amitriptyline
Migraine, naproxen, sumatriptan, metoclopramide, propranolol, amitriptyline, ergotamine
Migraine, propranolol, sumatriptan, naproxen, amitriptyline, metoclopramide, ergotamine
Migraine, amitriptyline, triptans, antiemetics, beta-blockers, ergotamine, NSAIDs
Migraine, metoclopramide, ergotamine, triptans, ibuprofen, beta-blockers, antidepressants
Migraine, beta-blockers, amitriptyline, metoclopramide, sumatriptan, ergotamine, NSAIDs
Migraine, sumatriptan, propranolol, naproxen, amitriptyline, ibuprofen, ergotamine
Migraine, amitriptyline, ibuprofen, sumatriptan, metoclopramide, propranolol, ergotamine
Migraine, triptans, naproxen, metoclopramide, beta-blockers, amitriptyline, NSAIDs
Migraine, ergotamine, metoclopramide, sumatriptan, beta-blockers, NSAIDs, amitriptyline
Migraine, naproxen, triptans, propranolol, amitriptyline, ergotamine, antiemetics
Migraine, metoclopramide, propranolol, ergotamine, triptans, sumatriptan, NSAIDs
Migraine, propranolol, naproxen, sumatriptan, amitriptyline, beta-blockers, metoclopramide
Migraine, antiemetics, sumatriptan, propranolol, ergotamine, beta-blockers, ibuprofen
Migraine, beta-blockers, naproxen, metoclopramide, ergotamine, antiemetics, amitriptyline
Migraine, ibuprofen, antiemetics, propranolol, ergotamine, sumatriptan, triptans
Migraine, ergotamine, sumatriptan, amitriptyline, naproxen, metoclopramide, beta-blockers
Cervical spondylosis, Acetaminophen, Ibuprofen, Naproxen, Diclofenac, Muscle relaxants, Gabapentin
Cervical spondylosis, Ibuprofen, Acetaminophen, Diclofenac, Muscle relaxants, Naproxen, Gabapentin
Cervical spondylosis, Diclofenac, Naproxen, Acetaminophen, Gabapentin, Muscle relaxants, Ibuprofen
Cervical spondylosis, Naproxen, Ibuprofen, Muscle relaxants, Diclofenac, Acetaminophen, Gabapentin
Cervical spondylosis, Muscle relaxants, Gabapentin, Acetaminophen, Naproxen, Ibuprofen, Diclofenac
Cervical spondylosis, Gabapentin, Naproxen, Ibuprofen, Muscle relaxants, Acetaminophen, Diclofenac
Cervical spondylosis, Acetaminophen, Muscle relaxants, Diclofenac, Naproxen, Ibuprofen, Gabapentin
Cervical spondylosis, Ibuprofen, Diclofenac, Gabapentin, Acetaminophen, Naproxen, Muscle relaxants
Cervical spondylosis, Naproxen, Gabapentin, Muscle relaxants, Acetaminophen, Ibuprofen, Diclofenac
Cervical spondylosis, Diclofenac, Acetaminophen, Naproxen, Gabapentin, Ibuprofen, Muscle relaxants
Cervical spondylosis, Muscle relaxants, Ibuprofen, Diclofenac, Gabapentin, Acetaminophen, Naproxen
Cervical spondylosis, Gabapentin, Diclofenac, Naproxen, Ibuprofen, Acetaminophen, Muscle relaxants
Cervical spondylosis, Naproxen, Acetaminophen, Muscle relaxants, Gabapentin, Ibuprofen, Diclofenac
Cervical spondylosis, Acetaminophen, Ibuprofen, Gabapentin, Naproxen, Diclofenac, Muscle relaxants
Cervical spondylosis, Ibuprofen, Muscle relaxants, Acetaminophen, Gabapentin, Diclofenac, Naproxen
Cervical spondylosis, Diclofenac, Gabapentin, Acetaminophen, Ibuprofen, Muscle relaxants, Naproxen
