Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition
Peptic ulcer disease, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
Peptic ulcer disease, vomiting, indigestion, abdominal_pain, passage_of_gases
Peptic ulcer disease, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases
Peptic ulcer disease, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases
Peptic ulcer disease, vomiting, indigestion, abdominal_pain, passage_of_gases
Peptic ulcer disease, vomiting, indigestion, loss_of_appetite, passage_of_gases
Peptic ulcer disease, vomiting, indigestion, loss_of_appetite, abdominal_pain
Peptic ulcer disease, vomiting, indigestion, loss_of_appetite, abdominal_pain
Peptic ulcer disease, vomiting, indigestion, loss_of_appetite, abdominal_pain
Peptic ulcer disease, vomiting, indigestion, loss_of_appetite, abdominal_pain
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
AIDS, patches_in_throat, high_fever, extra_marital_contacts,
AIDS, muscle_wasting, high_fever, extra_marital_contacts,
AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts,
AIDS, muscle_wasting, patches_in_throat, high_fever,
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts
AIDS, patches_in_throat, high_fever, extra_marital_contacts,
AIDS, muscle_wasting, high_fever, extra_marital_contacts,
AIDS, muscle_wasting, patches_in_throat, high_fever,
Diabetes , fatigue, weight_loss, restlessness, lethargy
Diabetes , fatigue, weight_loss, restlessness, lethargy
Diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level
Diabetes , fatigue, restlessness, lethargy, irregular_sugar_level
Diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level
Diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level
Diabetes , fatigue, weight_loss, restlessness, lethargy
Diabetes , fatigue, weight_loss, restlessness, lethargy
Diabetes , fatigue, weight_loss, restlessness, lethargy
Diabetes , fatigue, weight_loss, restlessness, lethargy
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
Gastroenteritis, sunken_eyes, dehydration, diarrhoea,
Gastroenteritis, vomiting, dehydration, diarrhoea,
Gastroenteritis, vomiting, sunken_eyes, diarrhoea,
Gastroenteritis, vomiting, sunken_eyes, dehydration,
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea
Gastroenteritis, sunken_eyes, dehydration, diarrhoea,
Gastroenteritis, vomiting, dehydration, diarrhoea,
Gastroenteritis, vomiting, sunken_eyes, diarrhoea,
Bronchial Asthma, fatigue, cough, high_fever, breathlessness
Bronchial Asthma, cough, high_fever, breathlessness, family_history
Bronchial Asthma, fatigue, high_fever, breathlessness, family_history
Bronchial Asthma, fatigue, cough, breathlessness, family_history
Bronchial Asthma, fatigue, cough, high_fever, family_history
Bronchial Asthma, fatigue, cough, high_fever, breathlessness
Bronchial Asthma, fatigue, cough, high_fever, breathlessness
Bronchial Asthma, fatigue, cough, high_fever, breathlessness
Bronchial Asthma, cough, high_fever, breathlessness, family_history
Bronchial Asthma, fatigue, high_fever, breathlessness, family_history
Hypertension , headache, chest_pain, dizziness, loss_of_balance
Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration
Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration
Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration
Hypertension , headache, chest_pain, dizziness, lack_of_concentration
Hypertension , headache, chest_pain, dizziness, loss_of_balance
Hypertension , headache, chest_pain, dizziness, loss_of_balance
Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration
Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration
Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
Migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger
Migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger
Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger
Migraine, acidity, indigestion, headache, excessive_hunger
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance
Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness
Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance
Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,
Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,
Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium
Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,
Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,
Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,
Jaundice,itching, vomiting, fatigue, weight_loss
Jaundice,itching, vomiting, fatigue, weight_loss
Jaundice, vomiting, fatigue, weight_loss, high_fever
Jaundice,itching, fatigue, weight_loss, high_fever
Jaundice,itching, vomiting, weight_loss, high_fever
Jaundice,itching, vomiting, fatigue, high_fever
Jaundice,itching, vomiting, fatigue, weight_loss
Jaundice,itching, vomiting, fatigue, weight_loss
Jaundice,itching, vomiting, fatigue, weight_loss
Jaundice,itching, vomiting, fatigue, weight_loss
Malaria, chills, vomiting, high_fever, sweating
Malaria, chills, vomiting, high_fever, sweating
Malaria, chills, vomiting, high_fever, sweating
Malaria, vomiting, high_fever, sweating, headache
Malaria, chills, high_fever, sweating, headache
Malaria, chills, vomiting, sweating, headache
Malaria, chills, vomiting, high_fever, headache
Malaria, chills, vomiting, high_fever, sweating
Malaria, chills, vomiting, high_fever, sweating
Malaria, chills, vomiting, high_fever, sweating
Chicken pox,itching, skin_rash, fatigue, lethargy
Chicken pox, skin_rash, fatigue, lethargy, high_fever
Chicken pox,itching, fatigue, lethargy, high_fever
Chicken pox,itching, skin_rash, lethargy, high_fever
Chicken pox,itching, skin_rash, fatigue, high_fever
Chicken pox,itching, skin_rash, fatigue, lethargy
Chicken pox,itching, skin_rash, fatigue, lethargy
Chicken pox,itching, skin_rash, fatigue, lethargy
Chicken pox,itching, skin_rash, fatigue, lethargy
Chicken pox,itching, skin_rash, fatigue, lethargy
Dengue, skin_rash, chills, joint_pain, vomiting
Dengue, skin_rash, chills, joint_pain, vomiting
Dengue, skin_rash, chills, joint_pain, vomiting
Dengue, skin_rash, chills, joint_pain, vomiting
Dengue, chills, joint_pain, vomiting, fatigue
Dengue, skin_rash, joint_pain, vomiting, fatigue
Dengue, skin_rash, chills, vomiting, fatigue
Dengue, skin_rash, chills, joint_pain, fatigue
Dengue, skin_rash, chills, joint_pain, vomiting
Dengue, skin_rash, chills, joint_pain, vomiting
Typhoid, chills, vomiting, fatigue, high_fever
Typhoid, chills, vomiting, fatigue, high_fever
Typhoid, chills, vomiting, fatigue, high_fever
Typhoid, chills, vomiting, fatigue, high_fever
Typhoid, chills, vomiting, fatigue, high_fever
Typhoid, chills, vomiting, fatigue, high_fever
Typhoid, chills, vomiting, fatigue, high_fever
Typhoid, chills, vomiting, fatigue, high_fever
Typhoid, chills, vomiting, fatigue, high_fever
Typhoid, chills, fatigue, high_fever, headache
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
hepatitis A, vomiting, yellowish_skin, dark_urine, nausea
hepatitis A, joint_pain, yellowish_skin, dark_urine, nausea
hepatitis A, joint_pain, vomiting, dark_urine, nausea
hepatitis A, joint_pain, vomiting, yellowish_skin, nausea
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine
Hepatitis B,itching, fatigue, lethargy, yellowish_skin
Hepatitis B,itching, fatigue, lethargy, yellowish_skin
Hepatitis B, fatigue, lethargy, yellowish_skin, dark_urine
Hepatitis B,itching, lethargy, yellowish_skin, dark_urine
Hepatitis B,itching, fatigue, yellowish_skin, dark_urine
Hepatitis B,itching, fatigue, lethargy, dark_urine
Hepatitis B,itching, fatigue, lethargy, yellowish_skin
Hepatitis B,itching, fatigue, lethargy, yellowish_skin
Hepatitis B,itching, fatigue, lethargy, yellowish_skin
Hepatitis B,itching, fatigue, lethargy, yellowish_skin
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
Hepatitis C, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes
Hepatitis C, fatigue, nausea, loss_of_appetite, yellowing_of_eyes
Hepatitis C, fatigue, yellowish_skin, loss_of_appetite, yellowing_of_eyes
Hepatitis C, fatigue, yellowish_skin, nausea, yellowing_of_eyes
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
Hepatitis C, fatigue, yellowish_skin, nausea, loss_of_appetite
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
Hepatitis D, vomiting, fatigue, yellowish_skin, dark_urine
Hepatitis D, joint_pain, fatigue, yellowish_skin, dark_urine
Hepatitis D, joint_pain, vomiting, yellowish_skin, dark_urine
Hepatitis D, joint_pain, vomiting, fatigue, dark_urine
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
Hepatitis D, joint_pain, vomiting, fatigue, yellowish_skin
Hepatitis E, joint_pain, vomiting, fatigue, high_fever
Hepatitis E, joint_pain, vomiting, fatigue, high_fever
Hepatitis E, joint_pain, vomiting, fatigue, high_fever
Hepatitis E, vomiting, fatigue, high_fever, yellowish_skin
Hepatitis E, joint_pain, fatigue, high_fever, yellowish_skin
Hepatitis E, joint_pain, vomiting, high_fever, yellowish_skin
Hepatitis E, joint_pain, vomiting, fatigue, yellowish_skin
Hepatitis E, joint_pain, vomiting, fatigue, high_fever
Hepatitis E, joint_pain, vomiting, fatigue, high_fever
Hepatitis E, joint_pain, vomiting, fatigue, high_fever
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
Alcoholic hepatitis, yellowish_skin, abdominal_pain, swelling_of_stomach, distention_of_abdomen
Alcoholic hepatitis, vomiting, abdominal_pain, swelling_of_stomach, distention_of_abdomen
Alcoholic hepatitis, vomiting, yellowish_skin, swelling_of_stomach, distention_of_abdomen
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, distention_of_abdomen
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain, swelling_of_stomach
Tuberculosis, chills, vomiting, fatigue, weight_loss
Tuberculosis, chills, vomiting, fatigue, weight_loss
Tuberculosis, vomiting, fatigue, weight_loss, cough
Tuberculosis, chills, fatigue, weight_loss, cough
Tuberculosis, chills, vomiting, weight_loss, cough
Tuberculosis, chills, vomiting, fatigue, cough
Tuberculosis, chills, vomiting, fatigue, weight_loss
Tuberculosis, chills, vomiting, fatigue, weight_loss
Tuberculosis, chills, vomiting, fatigue, weight_loss
Tuberculosis, chills, vomiting, fatigue, weight_loss
Common Cold, continuous_sneezing, chills, fatigue, cough
Common Cold, continuous_sneezing, chills, fatigue, cough
Common Cold, chills, fatigue, cough, high_fever
Common Cold, continuous_sneezing, fatigue, cough, high_fever
Common Cold, continuous_sneezing, chills, cough, high_fever
Common Cold, continuous_sneezing, chills, fatigue, high_fever
Common Cold, continuous_sneezing, chills, fatigue, cough
Common Cold, continuous_sneezing, chills, fatigue, cough
Common Cold, continuous_sneezing, chills, fatigue, cough
Common Cold, continuous_sneezing, chills, fatigue, cough
Pneumonia, chills, fatigue, cough, high_fever
Pneumonia, chills, fatigue, cough, high_fever
Pneumonia, chills, fatigue, cough, high_fever
Pneumonia, fatigue, cough, high_fever, breathlessness
Pneumonia, chills, cough, high_fever, breathlessness
Pneumonia, chills, fatigue, high_fever, breathlessness
Pneumonia, chills, fatigue, cough, breathlessness
Pneumonia, chills, fatigue, cough, high_fever
Pneumonia, chills, fatigue, cough, high_fever
Pneumonia, chills, fatigue, cough, high_fever
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus
Dimorphic hemmorhoids(piles), constipation, pain_in_anal_region, bloody_stool, irritation_in_anus
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, bloody_stool, irritation_in_anus
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, irritation_in_anus
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region, bloody_stool
Heart attack, vomiting, breathlessness, sweating, chest_pain
Heart attack, vomiting, breathlessness, sweating, chest_pain
Heart attack, breathlessness, sweating, chest_pain,
Heart attack, vomiting, sweating, chest_pain,
Heart attack, vomiting, breathlessness, chest_pain,
Heart attack, vomiting, breathlessness, sweating,
Heart attack, vomiting, breathlessness, sweating, chest_pain
Heart attack, breathlessness, sweating, chest_pain,
Heart attack, vomiting, sweating, chest_pain,
Heart attack, vomiting, breathlessness, chest_pain,
Varicose veins, fatigue, cramps, bruising, obesity
Varicose veins, fatigue, cramps, bruising, obesity
Varicose veins, cramps, bruising, obesity, swollen_legs
Varicose veins, fatigue, bruising, obesity, swollen_legs
Varicose veins, fatigue, cramps, obesity, swollen_legs
Varicose veins, fatigue, cramps, bruising, swollen_legs
Varicose veins, fatigue, cramps, bruising, obesity
Varicose veins, fatigue, cramps, bruising, obesity
Varicose veins, fatigue, cramps, bruising, obesity
Varicose veins, fatigue, cramps, bruising, obesity
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
Hypothyroidism, weight_gain, cold_hands_and_feets, mood_swings, lethargy
Hypothyroidism, weight_gain, cold_hands_and_feets, mood_swings, lethargy
Hypothyroidism, fatigue, cold_hands_and_feets, mood_swings, lethargy
Hypothyroidism, fatigue, weight_gain, mood_swings, lethargy
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, lethargy
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets, mood_swings
Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
Hyperthyroidism, mood_swings, weight_loss, restlessness, sweating
Hyperthyroidism, fatigue, weight_loss, restlessness, sweating
Hyperthyroidism, fatigue, mood_swings, restlessness, sweating
Hyperthyroidism, fatigue, mood_swings, weight_loss, sweating
Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
Hyperthyroidism, fatigue, mood_swings, weight_loss, restlessness
Hypoglycemia, vomiting, fatigue, anxiety, sweating
Hypoglycemia, vomiting, fatigue, anxiety, sweating
Hypoglycemia, vomiting, fatigue, anxiety, sweating
Hypoglycemia, fatigue, anxiety, sweating, headache
Hypoglycemia, vomiting, anxiety, sweating, headache
Hypoglycemia, vomiting, fatigue, sweating, headache
Hypoglycemia, vomiting, fatigue, anxiety, headache
Hypoglycemia, vomiting, fatigue, anxiety, sweating
Hypoglycemia, vomiting, fatigue, anxiety, sweating
Hypoglycemia, vomiting, fatigue, anxiety, sweating
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
Osteoarthristis, neck_pain, knee_pain, hip_joint_pain, swelling_joints
Osteoarthristis, joint_pain, knee_pain, hip_joint_pain, swelling_joints
Osteoarthristis, joint_pain, neck_pain, hip_joint_pain, swelling_joints
Osteoarthristis, joint_pain, neck_pain, knee_pain, swelling_joints
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
Osteoarthristis, joint_pain, neck_pain, knee_pain, hip_joint_pain
Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
Arthritis, stiff_neck, swelling_joints, movement_stiffness, painful_walking
Arthritis, muscle_weakness, swelling_joints, movement_stiffness, painful_walking
Arthritis, muscle_weakness, stiff_neck, movement_stiffness, painful_walking
Arthritis, muscle_weakness, stiff_neck, swelling_joints, painful_walking
Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness
(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
(vertigo) Paroymsal  Positional Vertigo, headache, nausea, spinning_movements, loss_of_balance
(vertigo) Paroymsal  Positional Vertigo, vomiting, nausea, spinning_movements, loss_of_balance
(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, spinning_movements, loss_of_balance
(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss_of_balance
(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, spinning_movements
(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea, loss_of_balance
Acne, skin_rash, pus_filled_pimples, blackheads, scurring
Acne, skin_rash, pus_filled_pimples, blackheads, scurring
Acne, pus_filled_pimples, blackheads, scurring,
Acne, skin_rash, blackheads, scurring,
Acne, skin_rash, pus_filled_pimples, scurring,
Acne, skin_rash, pus_filled_pimples, blackheads,
Acne, skin_rash, pus_filled_pimples, blackheads, scurring
Acne, skin_rash, pus_filled_pimples, blackheads,
Acne, skin_rash, pus_filled_pimples, scurring,
Acne, skin_rash, blackheads, scurring,
Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,
Urinary tract infection, burning_micturition, foul_smell_of urine, continuous_feel_of_urine,
Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine,
Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,
Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,
Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
Psoriasis, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails
Psoriasis, skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails
Psoriasis, skin_rash, joint_pain, silver_like_dusting, small_dents_in_nails
Psoriasis, skin_rash, joint_pain, skin_peeling, small_dents_in_nails
Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
Psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting
Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
Impetigo, high_fever, blister, red_sore_around_nose, yellow_crust_ooze
Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
Impetigo, skin_rash, high_fever, red_sore_around_nose, yellow_crust_ooze
Impetigo, skin_rash, high_fever, blister, yellow_crust_ooze
Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
Impetigo, skin_rash, high_fever, blister, red_sore_around_nose
Impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze
ADHD, anxiety, depression, panic_attacks,
ADHD, emotional_outbursts, insomnia, loneliness,
ADHD, suicidal_thoughts, chronic_stress, low_motivation,
ADHD, mood_swings, eating_disorders, fatigue,
ADHD, anxiety, social_anxiety, hopelessness,
ADHD, PTSD, emotional_breakdowns, body_dysmorphia,
ADHD, self_harm, overthinking, anger,
ADHD, rapid_weight_loss, lack_of_concentration, insomnia,
ADHD, depression, emotional_fatigue, isolation,
ADHD, panic_attacks, suicidal_attempts, anxiety,
ADHD, chronic_stress, loneliness, hopelessness,
ADHD, anxiety, low_motivation, eating_disorders,
ADHD, PTSD, stress, emotional_breakdowns,
ADHD, body_dysmorphia, depression, self_doubt,
ADHD, insomnia, anger, mood_swings,
ADHD, loneliness, social_anxiety, panic_attacks,
ADHD, low_motivation, anxiety, suicidal_thoughts,
ADHD, emotional_fatigue, overthinking, eating_disorders,
ADHD, isolation, chronic_stress, fatigue,
ADHD, anxiety, suicidal_thoughts, body_dysmorphia,
ADHD, hopelessness, emotional_outbursts, depression,
ADHD, insomnia, PTSD, anger,
ADHD, low_motivation, panic_attacks, self_harm,
ADHD, anxiety, loneliness, emotional_fatigue,
ADHD, eating_disorders, suicidal_attempts, rapid_weight_loss,
ADHD, stress, mood_swings, overthinking,
ADHD, emotional_breakdowns, hopelessness, body_dysmorphia,
ADHD, anxiety, chronic_stress, fatigue,
ADHD, isolation, panic_attacks, suicidal_thoughts,
ADHD, depression, self_doubt, social_anxiety,
ADHD, insomnia, emotional_outbursts, PTSD,
ADHD, low_motivation, anger, eating_disorders,
ADHD, anxiety, suicidal_attempts, hopelessness,
ADHD, emotional_fatigue, rapid_weight_loss, panic_attacks,
ADHD, mood_swings, loneliness, anxiety,
ADHD, overthinking, body_dysmorphia, chronic_stress,
ADHD, fatigue, isolation, depression,
ADHD, suicidal_thoughts, emotional_breakdowns, low_motivation,
ADHD, PTSD, anxiety, self_harm,
ADHD, eating_disorders, anger, hopelessness,
ADHD, panic_attacks, emotional_fatigue, insomnia,
ADHD, chronic_stress, social_anxiety, low_motivation,
